Fullname,Course,Score,Experience,StudyProgram,CleanedStudyProgram
Sarah Moreno,Doctor of Dental Medicine (D.M.D.),77.0,surgery,N/A-FT,Campus-FT
Helen Lynn,Doctor of Physical Therapy (D.P.T.),59.0,immunology,N/A-N/A,Campus-FT
Thomas Simmons,Master of Public Health (M.P.H.),90.0,nutrition,online-FT,Online-FT
William Bruce,Doctor of Chiropractic (D.C.),77.0,surgery,N/A-N/A,Campus-FT
Elizabeth Rodriguez,Master of Public Health (M.P.H.),89.0,nutrition,N/A-FT,Campus-FT
Victoria Wallace,Master of Health Administration (M.H.A.),56.0,surgery,campus-N/A,Campus-FT
Wanda Gomez,Bachelor of Science in Biomedical Science (B.S.),83.0,physiotherapy,campus-FT,Campus-FT
Teresa Foley,Doctor of Chiropractic (D.C.),96.0,immunology,online-N/A,Online-FT
Patricia Miller,Doctor of Osteopathic Medicine (D.O.),70.0,immunology,N/A-PT,Campus-PT
Michael Nichols,Doctor of Podiatric Medicine (D.P.M.),82.0,physiotherapy,N/A-FT,Campus-FT
Regina Ramsey,Doctor of Physical Therapy (D.P.T.),78.0,nursing,N/A-N/A,Campus-FT
Anthony Dixon,Doctor of Optometry (O.D.),92.0,surgery,campus-PT,Campus-PT
Craig Anthony,Bachelor of Science in Nursing (B.S.N.),64.0,nursing,campus-FT,Campus-FT
Angela Crawford,Doctor of Optometry (O.D.),58.0,nursing,N/A-PT,Campus-PT
Donald Prince,Doctor of Dental Medicine (D.M.D.),83.0,physiotherapy,campus-PT,Campus-PT
Margaret Smith,Doctor of Pharmacy (Pharm.D.),100.0,nutrition,campus-PT,Campus-PT
Dustin Cabrera,Doctor of Chiropractic (D.C.),72.0,physiotherapy,N/A-FT,Campus-FT
Candice Green,Doctor of Medicine (M.D.),85.0,nutrition,campus-PT,Campus-PT
Mary Blanchard,Doctor of Optometry (O.D.),68.0,physiotherapy,online-FT,Online-FT
Haley Cantu,Doctor of Physical Therapy (D.P.T.),77.0,surgery,campus-FT,Campus-FT
Natalie Vargas,Doctor of Pharmacy (Pharm.D.),55.0,nursing,online-FT,Online-FT
Michael Liu,Doctor of Pharmacy (Pharm.D.),62.0,None,campus-N/A,Campus-FT
Brandon Miller,Doctor of Veterinary Medicine (D.V.M.),98.0,surgery,campus-FT,Campus-FT
Jennifer Gonzalez,Bachelor of Science in Biomedical Science (B.S.),92.0,nursing,campus-FT,Campus-FT
Joseph Grant,Doctor of Dental Surgery (D.D.S.),52.0,physiotherapy,campus-FT,Campus-FT
Elizabeth Hall,Doctor of Veterinary Medicine (D.V.M.),97.0,surgery,campus-N/A,Campus-FT
Suzanne Sanchez,Bachelor of Science in Nursing (B.S.N.),99.0,immunology,N/A-FT,Campus-FT
Bobby Lopez,Doctor of Dental Surgery (D.D.S.),84.0,nutrition,campus-N/A,Campus-FT
Ray Terry,Master of Public Health (M.P.H.),55.0,nursing,online-PT,Online-PT
Jeffery Webb,Doctor of Nursing Practice (D.N.P.),88.0,dentistry,campus-N/A,Campus-FT
Robert Palmer,Bachelor of Science in Nursing (B.S.N.),100.0,surgery,N/A-FT,Campus-FT
Jill Weiss,Doctor of Dental Medicine (D.M.D.),86.0,physiotherapy,N/A-FT,Campus-FT
Amber Freeman,Doctor of Medicine (M.D.),69.0,dentistry,campus-PT,Campus-PT
Rebecca Spencer,Doctor of Veterinary Medicine (D.V.M.),80.0,immunology,campus-N/A,Campus-FT
Christopher Brady,Doctor of Pharmacy (Pharm.D.),86.0,nutrition,online-N/A,Online-FT
Diana Marks,Doctor of Physical Therapy (D.P.T.),62.0,surgery,N/A-N/A,Campus-FT
Angela Jones,Doctor of Dental Medicine (D.M.D.),65.0,nursing,campus-PT,Campus-PT
Annette Bentley,Master of Health Administration (M.H.A.),81.0,surgery,campus-PT,Campus-PT
Toni Hicks,Bachelor of Science in Biomedical Science (B.S.),78.0,physiotherapy,N/A-N/A,Campus-FT
Rebecca Trujillo,Doctor of Physical Therapy (D.P.T.),74.0,immunology,N/A-FT,Campus-FT
Thomas Johnson,Doctor of Medicine (M.D.),88.0,None,online-PT,Online-PT
Christine Gould,Doctor of Chiropractic (D.C.),59.0,surgery,online-PT,Online-PT
Danielle Taylor,Bachelor of Science in Biomedical Science (B.S.),54.0,dentistry,online-PT,Online-PT
Randall Brown,Doctor of Optometry (O.D.),50.0,surgery,online-N/A,Online-FT
Dustin Baker,Bachelor of Science in Biomedical Science (B.S.),61.0,physiotherapy,N/A-FT,Campus-FT
Mrs. Amanda Wilson,Doctor of Dental Medicine (D.M.D.),99.0,nutrition,online-FT,Online-FT
Jason Vega,Bachelor of Science in Nursing (B.S.N.),86.0,None,campus-FT,Campus-FT
Taylor Lopez,Master of Public Health (M.P.H.),86.0,immunology,online-FT,Online-FT
Bobby Mcintyre,Bachelor of Science in Nursing (B.S.N.),97.0,dentistry,online-N/A,Online-FT
Eric Leonard,Doctor of Chiropractic (D.C.),75.0,immunology,N/A-PT,Campus-PT
Gabriel Lane,Master of Public Health (M.P.H.),100.0,dentistry,N/A-FT,Campus-FT
Suzanne Perry,Doctor of Nursing Practice (D.N.P.),55.0,nutrition,online-FT,Online-FT
Jeffrey Clark,Bachelor of Science in Biomedical Science (B.S.),60.0,dentistry,N/A-PT,Campus-PT
Holly Scott,Doctor of Nursing Practice (D.N.P.),86.0,surgery,N/A-FT,Campus-FT
Duane Smith,Doctor of Podiatric Medicine (D.P.M.),67.0,nursing,online-N/A,Online-FT
Kimberly Carrillo,Doctor of Nursing Practice (D.N.P.),55.0,surgery,campus-PT,Campus-PT
Ronald Dickerson,Doctor of Nursing Practice (D.N.P.),55.0,None,campus-FT,Campus-FT
Brenda Bowers,Master of Public Health (M.P.H.),67.0,dentistry,online-FT,Online-FT
Alexis Hall,Bachelor of Science in Biomedical Science (B.S.),50.0,surgery,campus-FT,Campus-FT
Jonathan Moore,Bachelor of Science in Biomedical Science (B.S.),70.0,physiotherapy,N/A-PT,Campus-PT
Kaylee Peters,Doctor of Medicine (M.D.),56.0,nursing,campus-N/A,Campus-FT
Alexandra Lopez,Doctor of Nursing Practice (D.N.P.),78.0,None,campus-PT,Campus-PT
Laurie Simmons,Doctor of Pharmacy (Pharm.D.),84.0,immunology,online-PT,Online-PT
Jennifer Clarke,Doctor of Podiatric Medicine (D.P.M.),84.0,None,N/A-FT,Campus-FT
Christopher Holt,Doctor of Dental Surgery (D.D.S.),92.0,None,N/A-PT,Campus-PT
Jack Randall,Doctor of Physical Therapy (D.P.T.),72.0,nursing,N/A-PT,Campus-PT
Briana Serrano,Master of Health Administration (M.H.A.),53.0,immunology,online-N/A,Online-FT
Frank Rodriguez,Doctor of Nursing Practice (D.N.P.),79.0,dentistry,online-N/A,Online-FT
Brady Collins,Doctor of Dental Medicine (D.M.D.),59.0,None,online-FT,Online-FT
Jeremy Logan,Doctor of Podiatric Medicine (D.P.M.),75.0,surgery,online-PT,Online-PT
Mrs. Colleen Sanders MD,Master of Health Administration (M.H.A.),79.0,None,campus-PT,Campus-PT
Dennis Jones,Doctor of Nursing Practice (D.N.P.),58.0,immunology,N/A-PT,Campus-PT
Ray Carrillo,Doctor of Osteopathic Medicine (D.O.),70.0,None,campus-N/A,Campus-FT
Jennifer Hayes,Doctor of Nursing Practice (D.N.P.),100.0,physiotherapy,campus-N/A,Campus-FT
John Rowe,Bachelor of Science in Nursing (B.S.N.),91.0,nursing,online-FT,Online-FT
Samantha Archer,Doctor of Veterinary Medicine (D.V.M.),87.0,nutrition,campus-FT,Campus-FT
George Kelley,Bachelor of Science in Nursing (B.S.N.),95.0,immunology,online-N/A,Online-FT
Sarah Clayton,Doctor of Medicine (M.D.),63.0,nutrition,campus-N/A,Campus-FT
Bethany Coleman,Doctor of Osteopathic Medicine (D.O.),89.0,None,N/A-N/A,Campus-FT
Stacey Ramirez,Doctor of Nursing Practice (D.N.P.),96.0,physiotherapy,online-FT,Online-FT
Bradley Brooks,Doctor of Veterinary Medicine (D.V.M.),57.0,nursing,campus-FT,Campus-FT
Emily James,Master of Public Health (M.P.H.),90.0,nursing,N/A-N/A,Campus-FT
Jennifer Harper,Doctor of Nursing Practice (D.N.P.),62.0,surgery,campus-FT,Campus-FT
Joseph Ramirez,Doctor of Pharmacy (Pharm.D.),63.0,immunology,N/A-N/A,Campus-FT
Deborah Williams,Master of Health Administration (M.H.A.),87.0,None,N/A-FT,Campus-FT
Matthew Tate,Doctor of Optometry (O.D.),57.0,nutrition,N/A-PT,Campus-PT
Douglas Newman,Doctor of Nursing Practice (D.N.P.),91.0,surgery,campus-PT,Campus-PT
Rebecca Jackson,Doctor of Optometry (O.D.),53.0,immunology,online-FT,Online-FT
Eric Frost Jr.,Master of Health Administration (M.H.A.),52.0,physiotherapy,online-N/A,Online-FT
Rachel English,Doctor of Optometry (O.D.),77.0,dentistry,online-PT,Online-PT
Janet Sanchez,Doctor of Osteopathic Medicine (D.O.),90.0,nursing,N/A-PT,Campus-PT
Amy Robertson,Bachelor of Science in Biomedical Science (B.S.),93.0,nursing,campus-FT,Campus-FT
Kathryn Edwards,Doctor of Osteopathic Medicine (D.O.),90.0,None,campus-N/A,Campus-FT
Dr. Christine Higgins,Master of Public Health (M.P.H.),53.0,immunology,campus-FT,Campus-FT
Kristin Houston,Doctor of Chiropractic (D.C.),53.0,nursing,campus-N/A,Campus-FT
Christine Price,Doctor of Veterinary Medicine (D.V.M.),61.0,dentistry,online-N/A,Online-FT
Ryan Roberts,Doctor of Veterinary Medicine (D.V.M.),71.0,surgery,campus-PT,Campus-PT
Dillon Harris,Master of Health Administration (M.H.A.),91.0,immunology,campus-FT,Campus-FT
Tina Cervantes,Doctor of Dental Surgery (D.D.S.),54.0,physiotherapy,online-FT,Online-FT
Margaret Lopez,Doctor of Veterinary Medicine (D.V.M.),52.0,immunology,online-FT,Online-FT
Timothy Smith,Doctor of Dental Medicine (D.M.D.),69.0,immunology,campus-FT,Campus-FT
Eileen Harris,Master of Public Health (M.P.H.),67.0,surgery,campus-PT,Campus-PT
Donna Alvarez,Doctor of Medicine (M.D.),54.0,physiotherapy,online-FT,Online-FT
Mark Miller,Doctor of Veterinary Medicine (D.V.M.),97.0,dentistry,N/A-PT,Campus-PT
Carla Arnold,Doctor of Osteopathic Medicine (D.O.),79.0,immunology,N/A-PT,Campus-PT
Dawn Mckee MD,Doctor of Optometry (O.D.),71.0,None,campus-PT,Campus-PT
Jessica Blake,Doctor of Veterinary Medicine (D.V.M.),65.0,surgery,online-PT,Online-PT
Steve Smith,Bachelor of Science in Nursing (B.S.N.),97.0,nursing,online-FT,Online-FT
Christy Miller,Doctor of Osteopathic Medicine (D.O.),84.0,None,campus-FT,Campus-FT
Samantha White,Doctor of Optometry (O.D.),93.0,physiotherapy,online-PT,Online-PT
Lisa Klein,Doctor of Podiatric Medicine (D.P.M.),78.0,nursing,campus-PT,Campus-PT
Steven Choi,Doctor of Optometry (O.D.),58.0,None,N/A-FT,Campus-FT
Crystal Garcia,Doctor of Chiropractic (D.C.),72.0,dentistry,online-PT,Online-PT
Robert Smith,Doctor of Physical Therapy (D.P.T.),75.0,surgery,online-N/A,Online-FT
Dana Haley,Doctor of Osteopathic Medicine (D.O.),66.0,dentistry,campus-PT,Campus-PT
Derek Caldwell,Bachelor of Science in Biomedical Science (B.S.),53.0,dentistry,online-N/A,Online-FT
Chad Ramirez,Doctor of Podiatric Medicine (D.P.M.),64.0,physiotherapy,campus-N/A,Campus-FT
Nicholas Vasquez,Doctor of Dental Medicine (D.M.D.),81.0,immunology,campus-PT,Campus-PT
Paul Castillo,Doctor of Optometry (O.D.),67.0,nutrition,campus-FT,Campus-FT
Tracy Walker,Doctor of Dental Medicine (D.M.D.),96.0,immunology,online-N/A,Online-FT
Jonathan Harris,Doctor of Medicine (M.D.),89.0,surgery,online-PT,Online-PT
Rebekah Moore,Doctor of Nursing Practice (D.N.P.),90.0,nursing,campus-PT,Campus-PT
Heidi Dillon,Doctor of Veterinary Medicine (D.V.M.),97.0,None,online-FT,Online-FT
Linda Vasquez,Doctor of Veterinary Medicine (D.V.M.),76.0,dentistry,online-FT,Online-FT
John Landry,Master of Health Administration (M.H.A.),93.0,surgery,campus-FT,Campus-FT
Maria Peck,Bachelor of Science in Nursing (B.S.N.),80.0,immunology,online-N/A,Online-FT
Thomas Johnson,Bachelor of Science in Nursing (B.S.N.),57.0,surgery,online-PT,Online-PT
Jeffrey Holland,Bachelor of Science in Nursing (B.S.N.),89.0,immunology,campus-FT,Campus-FT
Wanda Stewart,Doctor of Osteopathic Medicine (D.O.),60.0,immunology,online-FT,Online-FT
Lisa Fox,Master of Health Administration (M.H.A.),76.0,nursing,N/A-FT,Campus-FT
Christopher Rodgers,Doctor of Dental Medicine (D.M.D.),99.0,nutrition,campus-FT,Campus-FT
Jason Jones,Doctor of Physical Therapy (D.P.T.),100.0,nursing,N/A-FT,Campus-FT
Angela Perez,Doctor of Pharmacy (Pharm.D.),96.0,immunology,N/A-FT,Campus-FT
Christina Mitchell,Master of Health Administration (M.H.A.),51.0,physiotherapy,campus-FT,Campus-FT
Cynthia Smith,Doctor of Nursing Practice (D.N.P.),96.0,nursing,campus-N/A,Campus-FT
Kimberly Le,Doctor of Optometry (O.D.),92.0,nursing,online-PT,Online-PT
Ryan Humphrey,Doctor of Chiropractic (D.C.),92.0,nutrition,online-FT,Online-FT
Ryan Young,Doctor of Medicine (M.D.),82.0,None,N/A-PT,Campus-PT
Kelly White,Master of Health Administration (M.H.A.),93.0,surgery,campus-PT,Campus-PT
Jacob Peterson,Bachelor of Science in Nursing (B.S.N.),53.0,nutrition,online-N/A,Online-FT
Tyler Johnson,Doctor of Optometry (O.D.),61.0,immunology,N/A-PT,Campus-PT
Timothy Miranda,Doctor of Dental Medicine (D.M.D.),84.0,nursing,online-FT,Online-FT
Jennifer Wolf,Doctor of Veterinary Medicine (D.V.M.),60.0,nursing,N/A-FT,Campus-FT
Gabrielle Hall,Doctor of Physical Therapy (D.P.T.),92.0,physiotherapy,online-FT,Online-FT
Alexandra Preston,Bachelor of Science in Nursing (B.S.N.),66.0,nursing,N/A-FT,Campus-FT
Wendy Nguyen,Doctor of Osteopathic Medicine (D.O.),51.0,None,N/A-N/A,Campus-FT
Victor Holland,Master of Health Administration (M.H.A.),69.0,physiotherapy,N/A-FT,Campus-FT
Eric Knight,Doctor of Nursing Practice (D.N.P.),74.0,immunology,campus-PT,Campus-PT
Leslie Watts,Doctor of Podiatric Medicine (D.P.M.),62.0,physiotherapy,N/A-N/A,Campus-FT
Christine Porter,Master of Health Administration (M.H.A.),68.0,physiotherapy,campus-FT,Campus-FT
Anita Ramirez,Doctor of Osteopathic Medicine (D.O.),53.0,nutrition,N/A-FT,Campus-FT
Nathan Jackson,Doctor of Podiatric Medicine (D.P.M.),80.0,immunology,online-FT,Online-FT
Peter Lee,Bachelor of Science in Biomedical Science (B.S.),64.0,surgery,online-N/A,Online-FT
Robert Ford,Master of Health Administration (M.H.A.),53.0,surgery,N/A-N/A,Campus-FT
Stephanie Bridges,Doctor of Optometry (O.D.),63.0,nutrition,N/A-N/A,Campus-FT
Darius Wolfe,Bachelor of Science in Nursing (B.S.N.),88.0,physiotherapy,N/A-N/A,Campus-FT
Jamie Maldonado,Doctor of Chiropractic (D.C.),86.0,dentistry,N/A-FT,Campus-FT
Martin Benson,Doctor of Dental Surgery (D.D.S.),86.0,physiotherapy,campus-FT,Campus-FT
Wendy Jordan,Doctor of Dental Medicine (D.M.D.),53.0,nutrition,online-FT,Online-FT
Carrie Pena,Doctor of Podiatric Medicine (D.P.M.),76.0,None,N/A-N/A,Campus-FT
Patricia Stafford,Master of Public Health (M.P.H.),89.0,physiotherapy,online-N/A,Online-FT
Ms. Stephanie Crosby,Doctor of Physical Therapy (D.P.T.),61.0,dentistry,N/A-N/A,Campus-FT
Lisa Alvarado,Doctor of Chiropractic (D.C.),93.0,immunology,N/A-PT,Campus-PT
Stacey Vasquez,Master of Health Administration (M.H.A.),72.0,physiotherapy,N/A-PT,Campus-PT
Kelsey Harrison,Master of Public Health (M.P.H.),87.0,dentistry,online-N/A,Online-FT
Jacob Dalton,Bachelor of Science in Nursing (B.S.N.),69.0,surgery,campus-PT,Campus-PT
Michael Smith,Master of Public Health (M.P.H.),87.0,immunology,N/A-FT,Campus-FT
Jessica Lopez,Doctor of Medicine (M.D.),92.0,surgery,N/A-FT,Campus-FT
Laura Mercado,Doctor of Chiropractic (D.C.),55.0,nutrition,campus-N/A,Campus-FT
Sharon Miller,Doctor of Veterinary Medicine (D.V.M.),81.0,physiotherapy,online-N/A,Online-FT
Melanie Peterson,Doctor of Pharmacy (Pharm.D.),81.0,surgery,campus-FT,Campus-FT
Samantha Payne,Doctor of Dental Medicine (D.M.D.),70.0,None,N/A-FT,Campus-FT
Jonathan Walker,Doctor of Dental Medicine (D.M.D.),79.0,None,campus-PT,Campus-PT
Deanna Richardson,Doctor of Optometry (O.D.),54.0,surgery,online-N/A,Online-FT
Maria Guzman,Doctor of Dental Medicine (D.M.D.),53.0,nutrition,online-N/A,Online-FT
Tracy Martinez,Doctor of Chiropractic (D.C.),100.0,nursing,campus-FT,Campus-FT
Heather Holloway,Bachelor of Science in Nursing (B.S.N.),82.0,nursing,campus-N/A,Campus-FT
Steven Whitney,Doctor of Veterinary Medicine (D.V.M.),99.0,None,campus-N/A,Campus-FT
Scott Garcia,Doctor of Osteopathic Medicine (D.O.),66.0,nursing,online-N/A,Online-FT
Joann Franklin,Doctor of Dental Medicine (D.M.D.),84.0,surgery,online-PT,Online-PT
Jennifer Williams,Doctor of Optometry (O.D.),78.0,physiotherapy,online-N/A,Online-FT
Jaclyn Gonzalez,Master of Public Health (M.P.H.),100.0,immunology,campus-N/A,Campus-FT
Ian Hill,Bachelor of Science in Nursing (B.S.N.),66.0,surgery,campus-N/A,Campus-FT
Joseph Mack,Doctor of Dental Surgery (D.D.S.),72.0,dentistry,campus-FT,Campus-FT
Amber Hess,Doctor of Veterinary Medicine (D.V.M.),69.0,physiotherapy,N/A-FT,Campus-FT
Ashley Moore,Bachelor of Science in Biomedical Science (B.S.),88.0,physiotherapy,online-PT,Online-PT
Jennifer Howard,Master of Health Administration (M.H.A.),56.0,dentistry,campus-N/A,Campus-FT
Mark Buchanan,Doctor of Nursing Practice (D.N.P.),60.0,dentistry,N/A-FT,Campus-FT
Daniel Hall,Doctor of Podiatric Medicine (D.P.M.),92.0,dentistry,online-N/A,Online-FT
Luis Richardson,Bachelor of Science in Nursing (B.S.N.),59.0,physiotherapy,online-PT,Online-PT
Keith Santos,Doctor of Osteopathic Medicine (D.O.),94.0,None,online-PT,Online-PT
Douglas Taylor,Doctor of Dental Medicine (D.M.D.),89.0,surgery,campus-N/A,Campus-FT
Marvin Higgins,Bachelor of Science in Biomedical Science (B.S.),85.0,nursing,N/A-FT,Campus-FT
Kathryn Caldwell,Doctor of Chiropractic (D.C.),100.0,physiotherapy,campus-N/A,Campus-FT
Laura Hanson,Doctor of Nursing Practice (D.N.P.),55.0,surgery,campus-FT,Campus-FT
Kathleen Peters,Doctor of Chiropractic (D.C.),90.0,dentistry,N/A-PT,Campus-PT
Jack Hull,Doctor of Dental Surgery (D.D.S.),60.0,physiotherapy,N/A-FT,Campus-FT
Virginia Allen,Doctor of Nursing Practice (D.N.P.),59.0,immunology,online-N/A,Online-FT
Matthew Cervantes,Doctor of Dental Surgery (D.D.S.),88.0,nursing,online-FT,Online-FT
Sally Lee,Bachelor of Science in Nursing (B.S.N.),87.0,nutrition,campus-FT,Campus-FT
Laura Marshall,Bachelor of Science in Nursing (B.S.N.),51.0,None,campus-PT,Campus-PT
Richard Richardson,Doctor of Dental Surgery (D.D.S.),92.0,dentistry,online-PT,Online-PT
Daniel Turner,Doctor of Physical Therapy (D.P.T.),99.0,physiotherapy,online-N/A,Online-FT
Amy Evans,Master of Health Administration (M.H.A.),73.0,dentistry,online-FT,Online-FT
Tiffany Santiago,Master of Health Administration (M.H.A.),66.0,nursing,N/A-PT,Campus-PT
Edward Perkins,Doctor of Podiatric Medicine (D.P.M.),92.0,surgery,N/A-PT,Campus-PT
Dr. Kathleen Miller DVM,Doctor of Dental Surgery (D.D.S.),98.0,nutrition,online-FT,Online-FT
Derrick Sanchez,Bachelor of Science in Biomedical Science (B.S.),54.0,nutrition,campus-N/A,Campus-FT
Dalton Taylor,Doctor of Chiropractic (D.C.),96.0,dentistry,campus-N/A,Campus-FT
Elizabeth Tanner,Doctor of Osteopathic Medicine (D.O.),91.0,nursing,N/A-FT,Campus-FT
Ann Robles,Doctor of Medicine (M.D.),54.0,nutrition,online-PT,Online-PT
Amber Daniels,Doctor of Nursing Practice (D.N.P.),65.0,nutrition,online-N/A,Online-FT
Crystal Cortez,Bachelor of Science in Nursing (B.S.N.),88.0,nutrition,campus-FT,Campus-FT
Christopher Ryan,Doctor of Nursing Practice (D.N.P.),60.0,nutrition,campus-N/A,Campus-FT
Kelsey Wilson,Doctor of Osteopathic Medicine (D.O.),85.0,None,N/A-FT,Campus-FT
James Burch,Doctor of Osteopathic Medicine (D.O.),60.0,None,campus-FT,Campus-FT
David Li,Doctor of Pharmacy (Pharm.D.),55.0,nutrition,online-N/A,Online-FT
Bridget Robbins,Doctor of Pharmacy (Pharm.D.),85.0,physiotherapy,campus-N/A,Campus-FT
Jacob Smith,Doctor of Osteopathic Medicine (D.O.),60.0,dentistry,N/A-N/A,Campus-FT
Christopher Owens,Doctor of Podiatric Medicine (D.P.M.),50.0,immunology,N/A-N/A,Campus-FT
Courtney Robinson,Doctor of Podiatric Medicine (D.P.M.),58.0,dentistry,campus-N/A,Campus-FT
Michael Lucas,Doctor of Medicine (M.D.),85.0,nutrition,N/A-N/A,Campus-FT
Michael Bowen,Doctor of Physical Therapy (D.P.T.),75.0,nutrition,campus-PT,Campus-PT
James Hanson,Doctor of Veterinary Medicine (D.V.M.),65.0,surgery,N/A-PT,Campus-PT
Jessica Aguilar,Master of Public Health (M.P.H.),91.0,nursing,campus-PT,Campus-PT
Alexander Morales,Doctor of Medicine (M.D.),81.0,physiotherapy,campus-FT,Campus-FT
James Sloan,Doctor of Podiatric Medicine (D.P.M.),92.0,nutrition,campus-FT,Campus-FT
Virginia Chavez,Doctor of Podiatric Medicine (D.P.M.),82.0,immunology,online-FT,Online-FT
Samantha Brown,Doctor of Osteopathic Medicine (D.O.),57.0,nutrition,N/A-FT,Campus-FT
Maria Summers,Doctor of Dental Surgery (D.D.S.),89.0,surgery,online-FT,Online-FT
Patrick Reid,Doctor of Osteopathic Medicine (D.O.),74.0,surgery,N/A-PT,Campus-PT
Erin Macdonald,Bachelor of Science in Nursing (B.S.N.),59.0,nutrition,campus-N/A,Campus-FT
Carol Medina,Doctor of Pharmacy (Pharm.D.),73.0,None,campus-N/A,Campus-FT
Carl Henry,Doctor of Medicine (M.D.),94.0,nursing,campus-FT,Campus-FT
Rebecca Moreno,Doctor of Pharmacy (Pharm.D.),84.0,surgery,N/A-FT,Campus-FT
Laura Delacruz,Doctor of Dental Surgery (D.D.S.),73.0,dentistry,campus-N/A,Campus-FT
Donna Johnson,Doctor of Osteopathic Medicine (D.O.),72.0,None,online-PT,Online-PT
Margaret Scott,Doctor of Osteopathic Medicine (D.O.),86.0,physiotherapy,N/A-PT,Campus-PT
Ryan Turner,Doctor of Nursing Practice (D.N.P.),76.0,nutrition,N/A-PT,Campus-PT
Erik Sullivan,Doctor of Dental Medicine (D.M.D.),84.0,nutrition,online-PT,Online-PT
Alyssa West,Doctor of Podiatric Medicine (D.P.M.),52.0,physiotherapy,N/A-PT,Campus-PT
Christopher Phillips DDS,Doctor of Pharmacy (Pharm.D.),77.0,None,N/A-FT,Campus-FT
Ryan Haynes,Doctor of Podiatric Medicine (D.P.M.),77.0,surgery,campus-FT,Campus-FT
Katrina Collins,Doctor of Dental Surgery (D.D.S.),75.0,physiotherapy,campus-PT,Campus-PT
Jeremy Nunez,Doctor of Chiropractic (D.C.),50.0,immunology,campus-FT,Campus-FT
Wyatt Livingston,Master of Health Administration (M.H.A.),76.0,nursing,campus-N/A,Campus-FT
Dr. Ruben Wilson,Bachelor of Science in Nursing (B.S.N.),76.0,nutrition,online-N/A,Online-FT
Courtney Williams,Master of Public Health (M.P.H.),60.0,None,campus-N/A,Campus-FT
Melissa Alvarez,Master of Public Health (M.P.H.),97.0,physiotherapy,online-PT,Online-PT
Corey Hernandez,Doctor of Physical Therapy (D.P.T.),80.0,nursing,campus-N/A,Campus-FT
Susan King,Master of Public Health (M.P.H.),93.0,physiotherapy,online-PT,Online-PT
Denise Peterson,Doctor of Dental Surgery (D.D.S.),91.0,nutrition,online-N/A,Online-FT
Abigail Taylor,Doctor of Pharmacy (Pharm.D.),52.0,surgery,online-N/A,Online-FT
Daniel Phillips,Doctor of Podiatric Medicine (D.P.M.),53.0,physiotherapy,N/A-N/A,Campus-FT
Danny Orr,Doctor of Osteopathic Medicine (D.O.),56.0,physiotherapy,N/A-N/A,Campus-FT
Matthew Little,Doctor of Nursing Practice (D.N.P.),94.0,immunology,campus-PT,Campus-PT
Tyler Pena,Master of Public Health (M.P.H.),71.0,physiotherapy,campus-FT,Campus-FT
Sharon Cruz,Doctor of Dental Surgery (D.D.S.),75.0,immunology,campus-FT,Campus-FT
Elizabeth King,Doctor of Chiropractic (D.C.),52.0,nutrition,campus-FT,Campus-FT
Carrie Bridges,Doctor of Dental Surgery (D.D.S.),58.0,immunology,online-PT,Online-PT
Christopher Gonzalez,Bachelor of Science in Nursing (B.S.N.),72.0,dentistry,N/A-N/A,Campus-FT
Jonathan Randolph,Doctor of Nursing Practice (D.N.P.),86.0,immunology,campus-N/A,Campus-FT
Katrina Spencer,Doctor of Osteopathic Medicine (D.O.),83.0,nursing,online-PT,Online-PT
Steve Lee,Doctor of Dental Surgery (D.D.S.),99.0,physiotherapy,campus-FT,Campus-FT
Miguel Gamble,Doctor of Dental Surgery (D.D.S.),69.0,surgery,online-FT,Online-FT
Brandon Hughes,Doctor of Medicine (M.D.),89.0,physiotherapy,online-FT,Online-FT
John Cunningham,Doctor of Podiatric Medicine (D.P.M.),98.0,surgery,N/A-N/A,Campus-FT
Kristi Castaneda,Master of Public Health (M.P.H.),99.0,None,online-FT,Online-FT
Allison Horne,Doctor of Nursing Practice (D.N.P.),86.0,immunology,N/A-FT,Campus-FT
William Powell,Doctor of Podiatric Medicine (D.P.M.),84.0,immunology,N/A-FT,Campus-FT
Vincent Sullivan,Doctor of Chiropractic (D.C.),83.0,dentistry,N/A-FT,Campus-FT
David Russell,Doctor of Nursing Practice (D.N.P.),65.0,physiotherapy,campus-FT,Campus-FT
Michael Bailey,Doctor of Optometry (O.D.),80.0,nursing,N/A-PT,Campus-PT
James Weaver PhD,Doctor of Nursing Practice (D.N.P.),92.0,physiotherapy,online-FT,Online-FT
Kevin Williams,Doctor of Pharmacy (Pharm.D.),80.0,physiotherapy,online-FT,Online-FT
Christine Perkins,Doctor of Pharmacy (Pharm.D.),90.0,physiotherapy,N/A-FT,Campus-FT
Jake Joseph,Doctor of Dental Medicine (D.M.D.),82.0,dentistry,online-FT,Online-FT
Andrea Smith,Doctor of Podiatric Medicine (D.P.M.),71.0,surgery,N/A-N/A,Campus-FT
Alexander Brown,Master of Health Administration (M.H.A.),64.0,surgery,N/A-PT,Campus-PT
Lori Wagner,Doctor of Dental Medicine (D.M.D.),59.0,surgery,online-FT,Online-FT
Nicholas Collier,Doctor of Dental Surgery (D.D.S.),91.0,immunology,N/A-N/A,Campus-FT
Nicholas Miller,Doctor of Podiatric Medicine (D.P.M.),91.0,nursing,online-N/A,Online-FT
Douglas Hernandez,Doctor of Veterinary Medicine (D.V.M.),74.0,surgery,campus-FT,Campus-FT
